,HospitalName,HospitalPrice_70450,ZipCode
25,USC Verdugo Hills Hospital,4409,91208
26,Kaiser Foundation Hospital - Santa Clara,2500,95051
26,Aurora Behavioral Healthcare - Santa Rosa,,95401
13747,Childrens Hospital of Los Angeles,1590,90027
26,Childrens Hospital at Mission,4795,92691
26,Sierra Vista Regional Medical Center,5288.47,93405
25,Alameda Hospital,3482.817259,94501
26,Beverly Hospital,2984.25,90640
26,California Hospital Medical Center,4045,90015
23,Rideout Memorial Hospital,5058,95901
26,Northern Inyo Hospital,2280,93514
26,Aurora San Diego Hospital,,92128
26,Bakersfield Heart Hospital,2500,93308
22,Enloe Medical Center,4621,95926
26,Anaheim Global Medical Center,2003.07,92805
1932,Kindred Hospital Paramount,4678.8,90723
25,Montclair Hospital Medical Center,5065,91763
14819,Oroville Hospital,,95966
9717,Contra Costa Regional Medical Center,,94553
26,Sharp Chula Vista Medical Center,2490,91911
25,BHC Heritage Oaks Hospital,,95841
7452,Hoag Orthopedic Institute,2077.85,92618
20,Stanford University Hospital,4974,94305
26,Victor Valley Global Medical Center,2028,92395
26,Kaiser Foundation Hospital - San Jose,2500,95119
5390,Healdsburg District Hospital,,95448
26,Community Hospital of San Bernardino,3142,92411
15,Adventist Health White Memorial,6758,90033
19,Eden Medical Center,3294,94546
21,Emanate Health Queen of the Valley Hospital,2248.03,91790
19,Sutter Davis Hospital,2674,95616
19,Sutter Roseville Medical Center,2674,95661
26,Kaiser Foundation Hospital - Fresno,2500,93720
26,Sharp Memorial Hospital,2490,92123
23,Valleycare Medical Center,2865,94588
26,Kaiser Foundation Hospital - Roseville,2500,95661
25,BHC Sierra Vista Hospital,,95823
17520,Kindred Hospital - San Diego,3615.15,92104
26,Loma Linda University Medical Center - Murrieta,2808,92563
25,Garfield Medical Center,6821,91754
26,Good Samaritan Hospital - Los Angeles,4500,90017
25,Redwood Memorial Hospital,1646,95540
26,Arrowhead Regional Medical Center,1903,92324
26,John F Kennedy Memorial Hospital,6613.53,92201
26,Marian Medical Center,2426,93454
19,Sutter Tracy Community Memorial Hospital,2674,95376
26,Regional Medical Center of San Jose,,95116
4227,Olympia Medical Center,1453,90036
25,Emanuel Medical Center,7773.09,95382
25,Kaiser Foundation Hospital - Baldwin Park,,91706
25,Heritage Oaks Hospital,,95841
26,East Los Angeles Doctors Hospital,4240.47,90023
26,Scripps Green Hospital,908,92037
26,Kaiser Foundation Rehab Hospital - Vallejo,2500,94589
21,Adventist Health Tulare,2581.56,93274
26,Kindred Hospital - Baldwin Park,2776.2,91706
25,Mission Regional Medical Center,3140,92691
25,Henry Mayo Newhall Memorial Hospital,4848.43,91355
26,Placentia-Linda Community Hospital,6920.61,92870
26,Mercy Medical Center - Merced,5774,95340
