HospitalName,ZipCode
AHMC Anaheim Regional Medical Center,92801
Adventist Health Glendale,91206
Adventist Health Hanford,93230
Adventist Health Lodi Memorial,95240
Adventist Health Reedley,93654
Adventist Health Simi Valley,93065
Adventist Health Sonora - Greenley,95370
Adventist Health Tulare,93274
Adventist Health White Memorial,90033
Alameda Hospital,94501
Alta Bates-Summit Med Ctr-Alta Bates Campus,94705
Alta Bates-Summit Med Ctr-Summit Campus,94609
Alvarado Hospital,92120
Anaheim Global Medical Center,92805
Antelope Valley Hospital,93534
Arrowhead Regional Medical Center,92324
Aurora Behavioral Healthcare - Santa Rosa,95401
Aurora Charter Oak Hospital,91724
Aurora Las Encinas Hospital,91107
Aurora San Diego Hospital,92128
Aurora Vista del Mar Hospital,93001
BHC Heritage Oaks Hospital,95841
BHC Sierra Vista Hospital,95823
Bakersfield Behavioral Healthcare Hospital,93309
Bakersfield Heart Hospital,93308
Bakersfield Memorial Hospital,93301
Ballard Rehabilitation Hospital,92411
Banner Lassen Medical Center,96130
Barlow Respiratory Hospital,90026
Barstow Community Hospital,92311
Barton Memorial Hospital,96150
Beverly Hospital,90640
California Hospital Medical Center,90015
California Pacific Medical Center - Pacific Campus,94114
California Pacific Medical Center - St Lukes Campus,94110
Casa Colina Hospital and Centers for Health Care,91767
Cedars-Sinai Medical Center,90048
Chapman Global Medical Center,92869
Childrens Hospital & Research Center at Oakland,94618
Childrens Hospital at Mission,92691
Childrens Hospital of Los Angeles,90027
Childrens Hospital of Orange County,92868
Chinese Hospital,94133
Chino Valley Medical Center,91710
City of Hope Helford Clinical Research Hospital,91010
Coast Plaza Doctors Hospital,90650
College Hospital - Costa Mesa,92627
College Medical Center,90806
Community & Mission Hospital at Huntington Park,90255
Community Hospital of San Bernardino,92411
Community Hospital of the Monterey Peninsula,93940
Community Memorial Hospital San Buenaventura,93003
Contra Costa Regional Medical Center,94553
Corona Regional Medical Center,92882
Dameron Hospital,95203
Del Amo Hospital,90505
Delano Regional Medical Center,93215
