,HospitalDirectory,HospitalPrice
25,/Users/ryanripper/Downloads/2019/USC Verdugo Hills Hospital,4409
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Santa Clara,2500
26,/Users/ryanripper/Downloads/2019/Aurora Behavioral Healthcare - Santa Rosa,
13747,/Users/ryanripper/Downloads/2019/Childrens Hospital of Los Angeles,1590.0
19851,/Users/ryanripper/Downloads/2019/Childrens Hospital of Los Angeles,1590.0
46544,/Users/ryanripper/Downloads/2019/Childrens Hospital of Los Angeles,1590.0
26,/Users/ryanripper/Downloads/2019/Childrens Hospital of Los Angeles,1590
26,/Users/ryanripper/Downloads/2019/Childrens Hospital at Mission,4795
26,/Users/ryanripper/Downloads/2019/Sierra Vista Regional Medical Center,5288.47
25,/Users/ryanripper/Downloads/2019/Alameda Hospital,3482.8172588832485
143,/Users/ryanripper/Downloads/2019/Alameda Hospital,3555
26,/Users/ryanripper/Downloads/2019/Beverly Hospital,2984.25
26,/Users/ryanripper/Downloads/2019/California Hospital Medical Center,4045
23,/Users/ryanripper/Downloads/2019/Rideout Memorial Hospital,5058
22209,/Users/ryanripper/Downloads/2019/Rideout Memorial Hospital,5058.0
26,/Users/ryanripper/Downloads/2019/Northern Inyo Hospital,2280
26,/Users/ryanripper/Downloads/2019/Aurora San Diego Hospital,
26,/Users/ryanripper/Downloads/2019/Bakersfield Heart Hospital,2500
9141,/Users/ryanripper/Downloads/2019/Bakersfield Heart Hospital,2500.0
22,/Users/ryanripper/Downloads/2019/Enloe Medical Center,4621
26,/Users/ryanripper/Downloads/2019/Anaheim Global Medical Center,2003.07
1932,/Users/ryanripper/Downloads/2019/Kindred Hospital Paramount,4678.8
25,/Users/ryanripper/Downloads/2019/Montclair Hospital Medical Center,5065
14819,/Users/ryanripper/Downloads/2019/Oroville Hospital,CT HEAD W/O CTRST     OP
6712,/Users/ryanripper/Downloads/2019/Oroville Hospital,1603
6812,/Users/ryanripper/Downloads/2019/Oroville Hospital,1737
26,/Users/ryanripper/Downloads/2019/Oroville Hospital,
