,name,beds,city,website
0, Adventist Health Saint Helena Center for Behavioral Health,61,Vallejo,https://www.ahd.com/free_profile/054074/_Adventist_Health_Saint_Helena_Center_for_Behavioral_Health/Vallejo/California/
1, Adventist Health Simi Valley ,144,Simi Valley,https://www.ahd.com/free_profile/050236/_Adventist_Health_Simi_Valley_/Simi_Valley/California/
2, California Department of State Hospitals - Coalinga,0,Coalinga,https://www.ahd.com/free_profile/I41022/_California_Department_of_State_Hospitals_-_Coalinga/Coalinga/California/
3, California Department of State Hospitals - Napa,151,Napa,https://www.ahd.com/free_profile/054122/_California_Department_of_State_Hospitals_-_Napa/Napa/California/
4, California Department of State Hospitals Salinas Valley Hospital,0,Soledad,https://www.ahd.com/free_profile/I41899/_California_Department_of_State_Hospitals_Salinas_Valley_Hospital/Soledad/California/
5, Downey Medical Center,352,Downey,https://www.ahd.com/free_profile/050139/_Downey_Medical_Center/Downey/California/
6, MarinHealth Medical Center,327,Greenbrae,https://www.ahd.com/free_profile/050360/_MarinHealth_Medical_Center/Greenbrae/California/
7, Providence Saint John's Health Center,254,Santa Monica,https://www.ahd.com/free_profile/050290/_Providence_Saint_John%27s_Health_Center/Santa_Monica/California/
8, Woodland Hills Medical Center,274,Woodland Hills,https://www.ahd.com/free_profile/050677/_Woodland_Hills_Medical_Center/Woodland_Hills/California/
9,60th Medical Group - David Grant USAF Medical Center,0,Travis Air Force Base,https://www.ahd.com/free_profile/05015F/60th_Medical_Group_-_David_Grant_USAF_Medical_Center/Travis_Air_Force_Base/California/
10,Adventist Health and Rideout,209,Marysville,https://www.ahd.com/free_profile/050133/Adventist_Health_and_Rideout/Marysville/California/
11,Adventist Health Bakersfield ,254,Bakersfield,https://www.ahd.com/free_profile/050455/Adventist_Health_Bakersfield_/Bakersfield/California/
12,Adventist Health Clear Lake ,25,Clearlake,https://www.ahd.com/free_profile/051317/Adventist_Health_Clear_Lake_/Clearlake/California/
13,Adventist Health Delano,109,Delano,https://www.ahd.com/free_profile/050608/Adventist_Health_Delano/Delano/California/
14,Adventist Health Glendale,451,Glendale,https://www.ahd.com/free_profile/050239/Adventist_Health_Glendale/Glendale/California/
15,Adventist Health Hanford,235,Hanford,https://www.ahd.com/free_profile/050121/Adventist_Health_Hanford/Hanford/California/
16,Adventist Health Howard Memorial,25,Willits,https://www.ahd.com/free_profile/051310/Adventist_Health_Howard_Memorial/Willits/California/
17,Adventist Health Lodi Memorial ,194,Lodi,https://www.ahd.com/free_profile/050336/Adventist_Health_Lodi_Memorial_/Lodi/California/
18,Adventist Health Mendocino Coast,25,Fort Bragg,https://www.ahd.com/free_profile/051325/Adventist_Health_Mendocino_Coast/Fort_Bragg/California/
19,Adventist Health Reedley,49,Reedley,https://www.ahd.com/free_profile/050192/Adventist_Health_Reedley/Reedley/California/
20,Adventist Health Saint Helena ,151,Saint Helena,https://www.ahd.com/free_profile/050013/Adventist_Health_Saint_Helena_/Saint_Helena/California/
21,Adventist Health Selma,0,Selma,https://www.ahd.com/free_profile/I41391/Adventist_Health_Selma/Selma/California/
22,Adventist Health Sonora,152,Sonora,https://www.ahd.com/free_profile/050335/Adventist_Health_Sonora/Sonora/California/
23,Adventist Health Tehachapi Valley,25,Tehachapi,https://www.ahd.com/free_profile/051301/Adventist_Health_Tehachapi_Valley/Tehachapi/California/
24,Adventist Health Tulare,73,Tulare,https://www.ahd.com/free_profile/050784/Adventist_Health_Tulare/Tulare/California/
25,Adventist Health Ukiah Valley,50,Ukiah,https://www.ahd.com/free_profile/050301/Adventist_Health_Ukiah_Valley/Ukiah/California/
26,Adventist Health Vallejo,0,Vallejo,https://www.ahd.com/free_profile/I42371/Adventist_Health_Vallejo/Vallejo/California/
27,Adventist Health White Memorial,353,Los Angeles,https://www.ahd.com/free_profile/050103/Adventist_Health_White_Memorial/Los_Angeles/California/
28,AHMC Anaheim Regional Medical Center,223,Anaheim,https://www.ahd.com/free_profile/050226/AHMC_Anaheim_Regional_Medical_Center/Anaheim/California/
29,AHMC Seton Medical Center,434,Daly City,https://www.ahd.com/free_profile/050289/AHMC_Seton_Medical_Center/Daly_City/California/
30,AHMC Seton Medical Center Coastside,0,Moss Beach,https://www.ahd.com/free_profile/I41392/AHMC_Seton_Medical_Center_Coastside/Moss_Beach/California/
31,Alameda Hospital,217,Alameda,https://www.ahd.com/free_profile/050211/Alameda_Hospital/Alameda/California/
32,Alhambra Hospital Medical Center,144,Alhambra,https://www.ahd.com/free_profile/050281/Alhambra_Hospital_Medical_Center/Alhambra/California/
33,Alta Bates Summit Medical Center,461,Oakland,https://www.ahd.com/free_profile/050043/Alta_Bates_Summit_Medical_Center/Oakland/California/
34,Alta Bates Summit Medical Center  Herrick Campus,0,Berkeley,https://www.ahd.com/free_profile/I41155/Alta_Bates_Summit_Medical_Center__Herrick_Campus/Berkeley/California/
35,Alta Bates Summit Medical Center Alta Bates Campus,383,Berkeley,https://www.ahd.com/free_profile/050305/Alta_Bates_Summit_Medical_Center_Alta_Bates_Campus/Berkeley/California/
36,Alvarado Hospital Medical Center,306,San Diego,https://www.ahd.com/free_profile/050757/Alvarado_Hospital_Medical_Center/San_Diego/California/
37,Alvarado Parkway Institute,66,La Mesa,https://www.ahd.com/free_profile/054075/Alvarado_Parkway_Institute/La_Mesa/California/
38,Anaheim Global Medical Center,189,Anaheim,https://www.ahd.com/free_profile/050744/Anaheim_Global_Medical_Center/Anaheim/California/
39,Anaheim Medical Center ,526,Anaheim,https://www.ahd.com/free_profile/050609/Anaheim_Medical_Center_/Anaheim/California/
40,Antelope Valley Hospital,393,Lancaster,https://www.ahd.com/free_profile/050056/Antelope_Valley_Hospital/Lancaster/California/
41,Antioch Medical Center ,136,Antioch,https://www.ahd.com/free_profile/050760/Antioch_Medical_Center_/Antioch/California/
42,Arden Wood,13,San Francisco,https://www.ahd.com/free_profile/051993/Arden_Wood/San_Francisco/California/
43,Arrowhead Regional Medical Center,456,Colton,https://www.ahd.com/free_profile/050245/Arrowhead_Regional_Medical_Center/Colton/California/
44,Arroyo Grande Community Hospital,67,Arroyo Grande,https://www.ahd.com/free_profile/050016/Arroyo_Grande_Community_Hospital/Arroyo_Grande/California/
45,Aurora Behavioral Health Care San Diego,116,San Diego,https://www.ahd.com/free_profile/054095/Aurora_Behavioral_Health_Care_San_Diego/San_Diego/California/
46,Aurora Charter Oak Hospital,134,Covina,https://www.ahd.com/free_profile/054069/Aurora_Charter_Oak_Hospital/Covina/California/
47,Aurora Santa Rosa Hospital,95,Santa Rosa,https://www.ahd.com/free_profile/054151/Aurora_Santa_Rosa_Hospital/Santa_Rosa/California/
48,Bakersfield Behavioral Healthcare Hospital,90,Bakersfield,https://www.ahd.com/free_profile/054155/Bakersfield_Behavioral_Healthcare_Hospital/Bakersfield/California/
49,Bakersfield Heart Hospital,47,Bakersfield,https://www.ahd.com/free_profile/050724/Bakersfield_Heart_Hospital/Bakersfield/California/
50,Bakersfield Memorial Hospital,385,Bakersfield,https://www.ahd.com/free_profile/050036/Bakersfield_Memorial_Hospital/Bakersfield/California/
51,Baldwin Park Medical Center,257,Baldwin Park,https://www.ahd.com/free_profile/050723/Baldwin_Park_Medical_Center/Baldwin_Park/California/
52,Ballard Rehabilitation Hospital,60,San Bernardino,https://www.ahd.com/free_profile/053037/Ballard_Rehabilitation_Hospital/San_Bernardino/California/
53,Banner Lassen Medical Center,25,Susanville,https://www.ahd.com/free_profile/051320/Banner_Lassen_Medical_Center/Susanville/California/
54,Barlow Respiratory Hospital at PIH Health Hospital Whittier,0,Whittier,https://www.ahd.com/free_profile/I41420/Barlow_Respiratory_Hospital_at_PIH_Health_Hospital_Whittier/Whittier/California/
55,Barlow Respiratory Hospital Main in Los Angeles,105,Los Angeles,https://www.ahd.com/free_profile/052031/Barlow_Respiratory_Hospital_Main_in_Los_Angeles/Los_Angeles/California/
56,Barlow Respiratory Hospital San Fernando Valley,0,Van Nuys,https://www.ahd.com/free_profile/I41421/Barlow_Respiratory_Hospital_San_Fernando_Valley/Van_Nuys/California/
57,Barstow Community Hospital,30,Barstow,https://www.ahd.com/free_profile/050298/Barstow_Community_Hospital/Barstow/California/
58,Barton Memorial Hospital,111,South Lake Tahoe,https://www.ahd.com/free_profile/050352/Barton_Memorial_Hospital/South_Lake_Tahoe/California/
59,Bear Valley Community Hospital ,30,Big Bear Lake,https://www.ahd.com/free_profile/051335/Bear_Valley_Community_Hospital_/Big_Bear_Lake/California/
60,Beverly Hospital,202,Montebello,https://www.ahd.com/free_profile/050350/Beverly_Hospital/Montebello/California/
61,BHC Alhambra Hospital,97,Rosemead,https://www.ahd.com/free_profile/054032/BHC_Alhambra_Hospital/Rosemead/California/
62,Broadview,21,Los Angeles,https://www.ahd.com/free_profile/051991/Broadview/Los_Angeles/California/
