,HospitalName,HospitalPrice_70450,ZipCode,MedIncome,MeanIncome
0,USC Verdugo Hills Hospital,4409.0,91208,108374,150009
1,Kaiser Foundation Hospital - Santa Clara,2500.0,95051,134230,160714
2,Aurora Behavioral Healthcare - Santa Rosa,,95401,75290,100021
3,Childrens Hospital of Los Angeles,1590.0,90027,66947,103501
4,Childrens Hospital at Mission,4795.0,92691,117517,137319
5,Sierra Vista Regional Medical Center,5288.47,93405,45933,76178
6,Alameda Hospital,3482.817259,94501,94991,121429
7,Beverly Hospital,2984.25,90640,56009,73941
8,California Hospital Medical Center,4045.0,90015,43890,80234
9,Rideout Memorial Hospital,5058.0,95901,54851,66608
10,Northern Inyo Hospital,2280.0,93514,63849,77576
11,Aurora San Diego Hospital,,92128,103238,123553
12,Bakersfield Heart Hospital,2500.0,93308,43717,61150
13,Enloe Medical Center,4621.0,95926,49520,73632
14,Anaheim Global Medical Center,2003.07,92805,66253,80892
15,Kindred Hospital Paramount,4678.8,90723,55670,64698
16,Montclair Hospital Medical Center,5065.0,91763,62386,73967
17,Oroville Hospital,,95966,47252,60743
18,Contra Costa Regional Medical Center,,94553,103728,124919
19,Sharp Chula Vista Medical Center,2490.0,91911,61748,75194
20,BHC Heritage Oaks Hospital,,95841,50295,62571
21,Hoag Orthopedic Institute,2077.85,92618,107353,135579
22,Stanford University Hospital,4974.0,94305,60000,141148
23,Victor Valley Global Medical Center,2028.0,92395,50404,66830
24,Kaiser Foundation Hospital - San Jose,2500.0,95119,126860,150446
25,Healdsburg District Hospital,,95448,95114,139558
26,Community Hospital of San Bernardino,3142.0,92411,41984,55542
27,Adventist Health White Memorial,6758.0,90033,38266,50344
28,Eden Medical Center,3294.0,94546,97179,116521
29,Emanate Health Queen of the Valley Hospital,2248.03,91790,82128,98317
30,Sutter Davis Hospital,2674.0,95616,55510,92279
31,Sutter Roseville Medical Center,2674.0,95661,86823,113065
32,Kaiser Foundation Hospital - Fresno,2500.0,93720,89671,109456
33,Sharp Memorial Hospital,2490.0,92123,81899,102995
34,Valleycare Medical Center,2865.0,94588,153429,182833
35,Kaiser Foundation Hospital - Roseville,2500.0,95661,86823,113065
36,BHC Sierra Vista Hospital,,95823,47553,61970
37,Kindred Hospital - San Diego,3615.15,92104,67668,86445
38,Loma Linda University Medical Center - Murrieta,2808.0,92563,96929,112905
